datetime,project,type,title,author,url,notes
2025-02-18 16:58:20,"",blog,Discover posit::conf as an Opportunity Scholar,"",https://posit.co/blog/discover-posit-conf-as-an-opportunity-scholar/,""
2025-01-31 14:48:22,posit-package-manager,blog,What's New in Posit Package Manager 2024.11.0,"",https://posit.co/blog/posit-package-manager-2024-11-0/,""
2025-01-29 08:47:00,shiny-r,blog,The potential for AI-powered Shiny app prototyping with Shiny Assistant,"",https://posit.co/blog/ai-powered-shiny-app-prototyping/,""
2025-01-22 13:51:40,shiny-r,blog,ShinyConf 2025 Registration and Call for Proposals are open!,"",https://posit.co/blog/shinyconf-2025-registration-now-open/,""
2025-01-21 14:28:05,"",blog,Apply to be an Opportunity Scholar at posit::conf(2025),"",https://posit.co/blog/apply-to-be-an-opportunity-scholar-at-posit-conf-2025/,""
2025-01-15 17:54:55,great-tables,blog,2024 Posit Year in Review,"",https://posit.co/blog/2024-posit-year-in-review/,""
2025-01-10 15:00:04,"",blog,Speak at posit::conf(2025)!,"",https://posit.co/blog/speak-at-posit-conf-2025/,""
2024-12-31 17:09:44,great-tables,blog,What we did with publication-quality tables in 2024,"",https://posit.co/blog/what-we-did-with-publication-quality-tables-in-2024/,""
2024-12-20 10:50:27,"",blog,Announcing DevOps for Data Science by Alex Gold,"",https://posit.co/blog/devops-for-ds/,""
2024-12-19 21:13:22,"",blog,Posit’s pledge to support open source,"",https://posit.co/blog/posit-pledge-to-support-open-source/,""
2024-12-19 16:05:50,connect-cloud,blog,Connect Cloud moves into Beta with new features and subscription plans,"",https://posit.co/blog/connect-cloud-moves-into-beta/,""
2024-12-19 00:00:00,quarto,blog,Unified branding across Posit tools with brand.yml,"",https://posit.co/blog/unified-branding-across-posit-tools-with-brand-yml/,""
2024-12-18 12:30:00,quarto,blog,RStudio IDE and Posit Workbench 2024.12.0: What’s New,"",https://posit.co/blog/rstudio-2024-12-0-whats-new/,""
2024-12-16 14:28:00,"",blog,Pins in Databricks,"",https://posit.co/blog/pins-in-databricks/,""
2024-12-05 15:14:53,"",blog,posit::conf(2025) in-person registration is now open!,"",https://posit.co/blog/positconf2025-in-person-registration-is-now-open/,""
2024-12-04 08:57:00,quarto,blog,Use meta shortcode variables with Quarto Includes to insert precise content,"",https://posit.co/blog/quarto-meta-shortcode-variables/,""
2024-12-03 14:50:03,quarto,blog,GSK x Posit Live Event November 2024 Q&A,"",https://posit.co/blog/gsk-posit-live-event-nov-2024-qa/,""
2024-12-02 15:01:01,quarto,blog,posit::glimpse() Newsletter - December 2024,"",https://posit.co/blog/posit-glimpse-newsletter-december-2024/,""
2024-11-18 14:04:45,"",blog,Data Career Insights: The value of curiosity and how to cultivate a curious mind,"",https://posit.co/blog/the-value-of-curiosity-and-how-to-cultivate-a-curious-mind/,""
2024-11-01 19:37:02,quarto,blog,Closeread Prize Announcement - Scrollytelling with Quarto,"",https://posit.co/blog/closeread-prize-announcement/,""
2024-11-01 12:05:00,shiny-r,blog,Creating a Shiny app that interacts with a database,"",https://posit.co/blog/shiny-with-databases/,""
2024-10-31 00:00:00,"",blog,Talk recordings and workshop materials from posit::conf(2024),"",https://posit.co/blog/talks-and-workshops-from-posit-conf-2024/,""
2024-10-30 16:36:54,posit-connect,blog,Modern Data Governance Integrations in Posit Connect — designed with Novo Nordisk,"",https://posit.co/blog/modern-data-governance-integrations-in-posit-connect/,""
2024-10-24 13:18:01,shiny-python,blog,Tips for implementing custom features in Shiny,"",https://posit.co/blog/tips-for-implementing-custom-features-in-shiny/,""
2024-10-23 14:08:55,"",blog,Posit’s Hadley Wickham honored with the 2025 ASA Award for Statistical Computing and Graphics,"",https://posit.co/blog/hadley-wickham-honored-with-the-2025-asa-award-for-statistical-computing-and-graphics/,""
2024-10-22 16:53:18,shiny-r,blog,Winners of the 2024 Shiny Contest,"",https://posit.co/blog/winners-of-the-2024-shiny-contest/,""
2024-10-18 13:31:38,"",blog,Roche x Posit Live Event Sept 2024 Q&A,"",https://posit.co/blog/roche-posit-live-event-sept-2024-qa/,""
2024-10-17 00:00:00,shiny-python,blog,Deploying Shiny for Python apps built with Tapyr to Posit Connect,"",https://posit.co/blog/deploying-tapyr-on-posit-connect/,""
2024-10-16 00:00:00,orbital-r,blog,Running tidymodel prediction workflows inside databases with orbital and Snowflake,"",https://posit.co/blog/running-tidymodel-prediction-workflows-inside-databases/,""
2024-10-07 00:00:00,posit-connect,blog,Using Posit Connect to implement dynamic user identity for data governance in published apps,"",https://posit.co/blog/implement-dynamic-user-identity-posit-connect/,""
2024-09-26 18:14:49,"",blog,Data Career Insights: Lessons from four senior leaders in the data space,"",https://posit.co/blog/lessons-from-four-senior-leaders-in-the-data-space/,""
2024-09-24 15:01:41,posit-workbench,blog,RStudio IDE and Posit Workbench 2024.09.0: What’s New,"",https://posit.co/blog/rstudio-2024-09-0-whats-new/,""
2024-09-19 00:00:00,dplyr,blog,Improving Shiny app interactivity and performance with ggiraph,"",https://posit.co/blog/shiny-dashboards-with-ggiraph-and-databases/,""
2024-09-13 13:38:44,posit-package-manager,blog,"Posit Package Manager 2024.08.0: Remote administration, advanced logging, and Bioconductor improvements","",https://posit.co/blog/posit-package-manager-2024-08-0/,""
2024-09-12 16:10:57,shiny-r,blog,Takeaways from the R/Pharma Summit at posit::conf(2024),"",https://posit.co/blog/takeaways-from-the-r-pharma-summit-at-posit-conf-2024/,""
2024-09-09 00:00:00,plotnine,blog,Winners of the 2024 Plotnine Plotting Contest,"",https://posit.co/blog/winner-of-the-2024-plotnine-plotting-contest/,""
2024-09-03 00:00:00,"",blog,"Use Posit tools with data in DuckDB, Databricks, and Snowflake","",https://posit.co/blog/databases-with-posit/,""
2024-08-22 17:26:13,"",blog,Five highlights from posit::conf(2024),"",https://posit.co/blog/five-highlights-from-posit-conf-2024/,""
2024-08-20 00:00:00,quarto,blog,Automating Quarto reports with parameters,"",https://posit.co/blog/parameterized-quarto/,""
2024-08-13 00:00:00,posit-connect,blog,Machine learning development with Posit Connect and Airflow,"",https://posit.co/blog/ml-posit-connect-airflow/,""
2024-08-08 14:47:32,"",blog,posit::conf(2024) Know before you go,"",https://posit.co/blog/posit-conf-2024-know-before-you-go/,""
2024-08-01 17:27:49,"",blog,Roche’s end-to-end R submission for a new drug application,"",https://posit.co/blog/roches-first-end-to-end-r-journey-to-submission/,""
2024-08-01 00:00:00,tidyverse,blog,Parallelize R code using user-defined functions (UDFs) in sparklyr,"",https://posit.co/blog/databricks-udfs/,""
2024-07-31 00:00:00,gt,blog,Everything new that's in {gt} 0.11.0,"",https://posit.co/blog/everything-new-thats-in-gt-0-11-0/,""
2024-07-24 03:13:07,"",blog,Who you might run into at posit::conf(2024),"",https://posit.co/blog/who-you-might-run-into-at-positconf2024/,""
2024-07-22 14:02:20,shiny-r,blog,Announcing the 2024 Shiny Contest,"",https://posit.co/blog/announcing-the-2024-shiny-contest/,""
2024-07-10 13:50:07,connect-cloud,blog,Introducing Posit Connect Cloud: Share Your Data Apps and Docs Online,"",https://posit.co/blog/introducing-posit-connect-cloud/,""
2024-07-01 16:50:52,great-tables,blog,Winners of the 2024 Table Contest,"",https://posit.co/blog/2024-table-contest-winners/,""
2024-06-17 13:34:25,shiny-r,blog,Learn Shiny for R with Posit Academy,"",https://posit.co/blog/learn-shiny-for-r-with-posit-academy/,""
2024-06-05 15:33:06,"",blog,Registration for posit::conf(2024)'s virtual experience is now open,"",https://posit.co/blog/posit-conf-2024-virtual-experience-registration/,""
